train_start,train_end,validation_start,validation_end,test_date,prediction,actual,mae
2025-05-06 17:15:00,2025-05-29 07:00:00,2025-05-29 07:15:00,2025-06-04 04:30:00,2025-06-04 04:45:00,0.00072812114,0.0006307725315593001,9.734861220644746e-05
2025-05-06 17:30:00,2025-05-29 07:15:00,2025-05-29 07:30:00,2025-06-04 04:45:00,2025-06-04 05:00:00,0.0006274883,0.000637708179639,1.0219874312448834e-05
2025-05-06 17:45:00,2025-05-29 07:30:00,2025-05-29 07:45:00,2025-06-04 05:00:00,2025-06-04 05:15:00,0.0006155833,0.0006287707470439001,1.318742177333675e-05
2025-05-06 18:00:00,2025-05-29 07:45:00,2025-05-29 08:00:00,2025-06-04 05:15:00,2025-06-04 05:30:00,0.00069402374,0.0006268833248117,6.714041147520844e-05
2025-05-06 18:15:00,2025-05-29 08:00:00,2025-05-29 08:15:00,2025-06-04 05:30:00,2025-06-04 05:45:00,0.00066403067,0.0006201829337476,4.384773364679963e-05
2025-05-06 18:30:00,2025-05-29 08:15:00,2025-05-29 08:30:00,2025-06-04 05:45:00,2025-06-04 06:00:00,0.00065816124,0.0006206401767832,3.752106291532919e-05
2025-05-06 18:45:00,2025-05-29 08:30:00,2025-05-29 08:45:00,2025-06-04 06:00:00,2025-06-04 06:15:00,0.0006560834,0.0006174426356132,3.8640765213701156e-05
2025-05-06 19:00:00,2025-05-29 08:45:00,2025-05-29 09:00:00,2025-06-04 06:15:00,2025-06-04 06:30:00,0.0006421889,0.0006153132120072999,2.6875670913591165e-05
2025-05-06 19:15:00,2025-05-29 09:00:00,2025-05-29 09:15:00,2025-06-04 06:30:00,2025-06-04 06:45:00,0.00064216554,0.0006025603605042,3.9605181144664763e-05
2025-05-06 19:30:00,2025-05-29 09:15:00,2025-05-29 09:30:00,2025-06-04 06:45:00,2025-06-04 07:00:00,0.00063664187,0.0006033979963399,3.3243871118920345e-05
2025-05-06 19:45:00,2025-05-29 09:30:00,2025-05-29 09:45:00,2025-06-04 07:00:00,2025-06-04 07:15:00,0.00065663346,0.000610552822241,4.608064098153347e-05
2025-05-06 20:00:00,2025-05-29 09:45:00,2025-05-29 10:00:00,2025-06-04 07:15:00,2025-06-04 07:30:00,0.00063223334,0.0006120303028054,2.0203032831156193e-05
